Employee #,Last Name,First Name,Birthday,Status,Position,Immediate Supervisor,Basic Salary,Gross Semi-monthly Rate,Hourly Rate,SSS Number,PhilHealth Number,TIN,Pag-IBIG Number,
10001,Garcia,Manuel III,10/11/1983,Regular,Chief Executive Officer,N/A,"90,000","45,000",535.71,44-4506057-3,820126853951', 442-605-657-000 ,691295330870',
10002,Lim,Antonio,06/19/1988,Regular,Chief Operating Officer,"Garcia, Manuel III","60,000","30,000",357.14,52-2061274-9, 331-735-646-338' ,683-102-776-000,663904995411',
10003,Aquino,Bianca Sofia,08/04/1989,Regular,Chief Finance Officer,"Garcia, Manuel III","60,000","30,000",357.14,30-8870406-2, 177-451-189-665' ,971-711-280-000,171519773969',
10004,Reyes,Isabella,06/16/1994,Regular,Chief Marketing Officer,"Garcia, Manuel III","60,000","30,000",357.14,40-2511815-0, 341-911-411-254' ,876-809-437-000,416946776041',
10005,Hernandez,Eduard,09/23/1989,Regular,IT Operations and Systems,"Lim, Antonio","52,670","26,335",313.51,50-5577638-1, 957436191812' ,031-702-374-000,952347222457',
10006,Villanueva,Andrea Mae,02/14/1988,Regular,HR Manager,"Lim, Antonio","52,670","26,335",313.51,49-1632020-8, 382189453145' ,317-674-022-000,441093369646',
10007,San Jose,Brad,03/15/1996,Regular,HR Team Leader,"Villanueva, Andrea Mae","42,975","21,488",255.8,40-2400714-1, 239192926939' ,672-474-690-000,210850209964',
10008,Romualdez,Alice,05/14/1992,Regular,HR Rank and File,"San, Jose Brad","22,500","11,250",133.93,55-4476527-2, 545652640232' ,888-572-294-000,211385556888',
10009,Atienza,Rosie,09/24/1948,Regular,HR Rank and File,"San, Jose Brad","22,500","11,250",133.93,41-0644692-3, 708988234853' ,604-997-793-000,260107732354',
10010,Alvaro,Roderick,03/30/1988,Regular,Accounting Head,"Aquino, Bianca Sofia","52,670","26,335",313.51,64-7605054-4, 578114853194' ,525-420-419-000,799254095212',
10011,Salcedo,Anthony,09/14/1993,Regular,Payroll Manager,"Alvaro, Roderick","50,825","25,413",302.53,26-9647608-3, 126445315651' ,210-805-911-000,218002473454',
10012,Lopez,Josie,01/14/1987,Regular,Payroll Team Leader,"Salcedo, Anthony","38,475","19,238",229.02,44-8563448-3, 431709011012' ,218-489-737-000,113071293354',
10013,Farala,Martha,01/11/1942,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","12,000",142.86,45-5656375-0, 233693897247' ,210-835-851-000,631130283546',
10014,Martinez,Leila,07/11/1970,Regular,Payroll Rank and File,"Salcedo, Anthony","24,000","12,000",142.86,27-2090996-4, 515741057496' ,275-792-513-000,101205445886',
10015,Romualdez,Fredrick,03/10/1985,Regular,Account Manager,"Lim, Antonio","53,500","26,750",318.45,26-8768374-1, 308366860059' ,598-065-761-000,223057707853',
10016,Mata,Christian,10/21/1987,Regular,Account Team Leader,"Romualdez, Fredrick","42,975","21,488",255.8,49-2959312-6, 824187961962' ,103-100-522-000,631052853464',
10017,De Leon,Selena,02/20/1975,Regular,Account Team Leader,"Romualdez, Fredrick","41,850","20,925",249.11,27-2090208-8, 587272469938' ,482-259-498-000,719007608464',
10018,San Jose,Allison,06/24/1986,Regular,Account Rank and File,"Mata, Christian","22,500","11,250",133.93,45-3251383-0, 745148459521' ,121-203-336-000,114901859343',
10019,Rosario,Cydney,10/06/1996,Regular,Account Rank and File,"Mata, Christian","22,500","11,250",133.93,49-1629900-2, 579253435499' ,122-244-511-000,265104358643',
10020,Bautista,Mark,02/12/1991,Regular,Account Rank and File,"Mata, Christian","23,250","11,625",138.39,49-1647342-5, 399665157135' ,273-970-941-000,260054585575',
10021,Lazaro,Darlene,11/25/1985,Probationary,Account Rank and File,"Mata, Christian","23,250","11,625",138.39,45-5617168-2, 606386917510' ,354-650-951-000,104907708845',
10022,Delos Santos,Kolby,02/26/1980,Probationary,Account Rank and File,"Mata, Christian","24,000","12,000",142.86,52-0109570-6, 357451271274' ,187-500-345-000,113017988667',
10023,Santos,Vella,12/31/1983,Probationary,Account Rank and File,"Mata, Christian","22,500","11,250",133.93,52-9883524-3, 548670482885' ,101-558-994-000,360028104576',
10024,Del Rosario,Tomas,12/18/1978,Probationary,Account Rank and File,"Mata, Christian","22,500","11,250",133.93,45-5866331-6, 953901539995' ,560-735-732-000,913108649964',
10025,Tolentino,Jacklyn,05/19/1984,Probationary,Account Rank and File,"De Leon, Selena","24,000","12,000",142.86,47-1692793-0, 753800654114' ,841-177-857-000,210546661243',
10026,Gutierrez,Percival,12/18/1970,Probationary,Account Rank and File,"De Leon, Selena","24,750","12,375",147.32,40-9504657-8, 797639382265' ,502-995-671-000,210897095686',
10027,Manalaysay,Garfield,08/28/1986,Probationary,Account Rank and File,"De Leon, Selena","24,750","12,375",147.32,45-3298166-4, 810909286264' ,336-676-445-000,211274476563',
10028,Villegas,Lizeth,12/12/1981,Probationary,Account Rank and File,"De Leon, Selena","24,000","12,000",142.86,40-2400719-4, 934389652994' ,210-395-397-000,122238077997',
10029,Ramos,Carol,08/20/1978,Probationary,Account Rank and File,"De Leon, Selena","22,500","11,250",133.93,60-1152206-4, 351830469744' ,395-032-717-000,212141893454',
10030,Maceda,Emelia,04/14/1973,Probationary,Account Rank and File,"De Leon, Selena","22,500","11,250",133.93,54-1331005-0, 465087894112' ,215-973-013-000,515012579765',
10031,Aguilar,Delia,01/27/1989,Probationary,Account Rank and File,"De Leon, Selena","22,500","11,250",133.93,52-1859253-1, 136451303068' ,599-312-588-000,110018813465',
10032,Castro,John Rafael,02/09/1992,Regular,Sales & Marketing,"Reyes, Isabella","52,670","26,335",313.51,26-7145133-4, 601644902402' ,404-768-309-000,697764069311',
10033,Martinez,Carlos Ian,11/16/1990,Regular,Supply Chain and Logistics,"Reyes, Isabella","52,670","26,335",313.51,11-5062972-7, 380685387212' ,256-436-296-000,993372963726',
10034,Santos,Beatriz,08/07/1990,Regular,Customer Service and Relations,"Reyes, Isabella","52,670","26,335",313.51,20-2987501-5, 918460050077' ,911-529-713-000,874042259378',
